Year,Qtr,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
2008,630,58410,0,3783313,0,Cross River Bank,Teaneck,NJ,7666,39629,43510,NM,885 Teaneck Road,,1,0,0,7,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,39631,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,0,http://www.crossriver.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,
2008,930,58410,0,3783313,0,Cross River Bank,Teaneck,NJ,7666,39721,43510,NM,885 Teaneck Road,,1,0,0,7,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40468,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,http://www.crossriver.com,635,4,639,10,649,549,549,0,0,0,0,0,549,0,,0,100,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,4,
2008,1231,58410,0,3783313,0,Cross River Bank,Teaneck,NJ,7666,39813,43510,NM,885 Teaneck Road,,1,0,0,7,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40468,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,http://www.crossriver.com,5602,50,5652,47,5699,5516,5516,0,2544,0,2544,0,2972,0,,0,183,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,50,
2009,331,58410,0,3783313,0,Cross River Bank,Teaneck,NJ,7666,39903,43510,NM,885 Teaneck Road,,1,0,0,7,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40468,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,http://www.crossriver.com,7898,78,7976,66,8042,7235,7235,0,4189,0,4189,0,3046,0,,0,619,,188,0,0,,188,0,0,0,0,0,0,0,,,0,0,0,0,78,
2009,630,58410,0,3783313,0,Cross River Bank,Teaneck,NJ,7666,39994,43510,NM,885 Teaneck Road,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40468,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,http://www.crossriver.com,14364,175,14539,106,14645,13092,13092,0,6322,0,6322,3784,2986,0,,0,1552,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,175,
2009,930,58410,0,3783313,0,Cross River Bank,Teaneck,NJ,7666,40086,43510,NM,885 Teaneck Road,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40468,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,http://www.crossriver.com,22118,267,22385,148,22533,20562,20562,0,10952,0,10952,6317,3293,0,,0,1972,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,267,
2009,1231,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40178,44060,NM,885 Teaneck Rd.,,1,0,,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,39659,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",34494,387,34881,334,35215,32910,32910,0,13857,0,13857,6910,12143,0,,0,2305,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,387,
2010,331,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40268,44060,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,39659,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",40025,470,40495,357,40852,38443,38443,0,16839,0,16839,7817,13787,0,,0,2410,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,470,
2010,630,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40359,44060,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,39659,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",46215,553,46768,358,47126,42238,42238,0,19543,0,19543,8189,14506,0,,0,3151,,1737,0,250,,1487,0,0,0,0,0,0,0,,,0,0,0,0,553,
2010,930,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40451,44060,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,39659,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",58037,659,58696,374,59070,51846,51846,0,25708,0,25708,10312,15826,0,,0,3201,,4022,0,445,,3577,0,0,0,0,0,0,0,,,0,0,0,0,660,
2010,1231,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40543,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",71570,774,72344,390,72734,62242,62242,0,33725,0,33725,11473,17044,0,,0,3089,,7403,0,530,,6873,0,0,0,0,0,0,0,0,,0,0,0,0,774,
